  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+000           99.70158956            0.00000000        5262.40840058       -45646.37302831       -40383.96462773 
  5.0000e-015           98.86425604            0.00000000        5218.21260611       -45557.89232528       -40339.67971917 
  1.0000e-014           97.48262212            0.00000000        5145.28777152       -45411.89655293       -40266.60878141 
  1.5000e-014           95.58082121            0.00000000        5044.90769583       -45210.92981692       -40166.02212109 
  2.0000e-014           93.19289788            0.00000000        4918.86930648       -44958.58168579       -40039.71237931 
  2.5000e-014           90.36328263            0.00000000        4769.51771510       -44659.53803955       -39890.02032445 
  3.0000e-014           87.14723539            0.00000000        4599.76962906       -44319.62888992       -39719.85926086 
  3.5000e-014           83.61111707            0.00000000        4413.12768221       -43945.85829834       -39532.73061613 
  4.0000e-014           79.83231407            0.00000000        4213.67645252       -43546.39787033       -39332.72141781 
  4.5000e-014           75.89861635            0.00000000        4006.04963330       -43130.52261398       -39124.47298067 
  5.0000e-014           71.90684637            0.00000000        3795.35766773       -42708.46752087       -38913.10985314 
  5.5000e-014           67.96057033            0.00000000        3587.06694430       -42291.18669492       -38704.11975061 
  6.0000e-014           64.16680738            0.00000000        3386.82610485       -41890.00571641       -38503.17961156 
  6.5000e-014           60.63179177            0.00000000        3200.24236087       -41516.17270736       -38315.93034649 
  7.0000e-014           57.45602255            0.00000000        3032.62021296       -41180.33282726       -38147.71261430 
  7.5000e-014           54.72902011            0.00000000        2888.68468837       -40891.97076953       -38003.28608116 
  8.0000e-014           52.52434374            0.00000000        2772.31836497       -40658.88052450       -37886.56215953 
  8.5000e-014           50.89546180            0.00000000        2686.34338653       -40486.72573931       -37800.38235279 
  9.0000e-014           49.87297930            0.00000000        2632.37513453       -40378.74480237       -37746.36966784 
  9.5000e-014           49.46353617            0.00000000        2610.76407515       -40335.63409390       -37724.87001875 
  1.0000e-013           49.65044186            0.00000000        2620.62925496       -40355.61626701       -37734.98701205 
  1.0500e-013           50.39587407            0.00000000        2659.97435172       -40434.67490434       -37774.70055262 
  1.1000e-013           51.64429197            0.00000000        2725.86783311       -40566.91801257       -37841.05017946 
  1.1500e-013           53.32662332            0.00000000        2814.66395675       -40745.02320856       -37930.35925181 
  1.2000e-013           55.36477693            0.00000000        2922.24094431       -40960.71681122       -38038.47586691 
  1.2500e-013           57.67608773            0.00000000        3044.23560263       -41205.24513915       -38161.00953652 
  1.3000e-013           60.17739372            0.00000000        3176.25850931       -41469.80618746       -38293.54767815 
  1.3500e-013           62.78854643            0.00000000        3314.07930066       -41745.92082842       -38431.84152776 
  1.4000e-013           65.43525202            0.00000000        3453.77662959       -42025.73281063       -38571.95618104 
  1.4500e-013           68.05121756            0.00000000        3591.85144933       -42302.23502967       -38710.38358034 
  1.5000e-013           70.57963293            0.00000000        3725.30523226       -42569.42543881       -38844.12020655 
  1.5500e-013           72.97405432            0.00000000        3851.68660005       -42822.39967465       -38970.71307460 
  1.6000e-013           75.19877323            0.00000000        3969.11080067       -43057.38935937       -39088.27855870 
  1.6500e-013           77.22876021            0.00000000        4076.25674063       -43271.75555751       -39195.49881689 
  1.7000e-013           79.04926878            0.00000000        4172.34607735       -43463.94643424       -39291.60035689 
  1.7500e-013           80.65517524            0.00000000        4257.10837314       -43633.42713646       -39376.31876333 
  1.8000e-013           82.05011765            0.00000000        4330.73565124       -43780.58858075       -39449.85292951 
  1.8500e-013           83.24548413            0.00000000        4393.82899439       -43906.64041813       -39512.81142374 
  1.9000e-013           84.25928829            0.00000000        4447.33918975       -44013.49216097       -39566.15297121 
  1.9500e-013           85.11496072            0.00000000        4492.50294084       -44103.62548153       -39611.12254069 
  2.0000e-013           85.84008022            0.00000000        4530.77590081       -44179.96015586       -39649.18425505 
  2.0500e-013           86.46506819            0.00000000        4563.76375951       -44245.71608553       -39681.95232601 
  2.1000e-013           87.02187324            0.00000000        4593.15281563       -44304.27423765       -39711.12142203 
  2.1500e-013           87.54267988            0.00000000        4620.64181759       -44359.04006230       -39738.39824471 
  2.2000e-013           88.05868251            0.00000000        4647.87725672       -44413.31376351       -39765.43650679 
  2.2500e-013           88.59897244            0.00000000        4676.39461821       -44470.17246315       -39793.77784494 
  2.3000e-013           89.18958728            0.00000000        4707.56820868       -44532.36953896       -39824.80133028 
  2.3500e-013           89.85276848            0.00000000        4742.57196646       -44602.25600373       -39859.68403727 
  2.4000e-013           90.60646109            0.00000000        4782.35306055       -44681.72758866       -39899.37452811 
  2.4500e-013           91.46407190            0.00000000        4827.61912279       -44772.19925236       -39944.58012957 
  2.5000e-013           92.43447945            0.00000000        4878.83877584       -44874.60644090       -39995.76766506 
  2.5500e-013           93.52226723            0.00000000        4936.25394429       -44989.43003873       -40053.17609444 
  2.6000e-013           94.72813401            0.00000000        4999.90151022       -45116.74007406       -40116.83856384 
  2.6500e-013           96.04942545            0.00000000        5069.64137309       -45256.25223253       -40186.61085944 
  2.7000e-013           97.48073076            0.00000000        5145.18794275       -45407.39118351       -40262.20324076 
  2.7500e-013           99.01449495            0.00000000        5226.14245462       -45569.35546659       -40343.21301197 
  2.8000e-013          100.64160835            0.00000000        5312.02408694       -45741.17989240       -40429.15580547 
  2.8500e-013          102.35194755            0.00000000        5402.29850905       -45921.79272810       -40519.49421905 
  2.9000e-013          104.13485245            0.00000000        5496.40306385       -46110.06609474       -40613.66303089 
  2.9500e-013          105.97953271            0.00000000        5593.76822054       -46304.85886971       -40711.09064917 
